what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1306302733480
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1306302733634
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1306302742967
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306302743498
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1306302750142
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1306302751421
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306302751931
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306302760303
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306304679033
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306304817755
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1306304865647
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306304869915
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306304893612
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306027378
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306029332
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306037912
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306059558
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306063377
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306068810
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306072538
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306075309
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306076905
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306080778
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306084011
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306085176
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306103398
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306104815
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306106075
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1306306146570
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306306155415
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1306306173564
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1306306179035
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306306181480
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1306306183455
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1306306185264
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1306306198435
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306200343
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306200631
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306204989
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306207680
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306210364
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306214406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306221479
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306246351
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306249437
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306250219
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306261373
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306262727
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1306306268989
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306306269609
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1306306275125
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306306288244
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306306292643
started,bundle,org.eclipse.draw2d,3.5.2.v20091126-1908,"org.eclipse.draw2d",1306306298918
opened,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1306306298942
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1306306299099
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1306306344757
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306306347365
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306306349302
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1306306351004
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306306351821
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306306352540
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1306306354938
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306306358192
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306306373454
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1306306416598
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306306421360
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306306422808
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306423588
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306424348
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306438114
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1306306452416
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1306306452786
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306306474529
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306494378
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306498666
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1306306509384
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306510511
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306306513495
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1306306516165
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1306306520395
closed,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1306306520395
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1306306521694
opened,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1306306523483
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1306306523552
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306306524987
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306531933
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306566924
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306568093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306595627
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306306596785
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306597306
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306611400
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1306306612948
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306306613400
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1306306628290
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306657245
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306657401
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306678258
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306699938
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306306746075
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306306752065
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1306306756289
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306306760775
